Topic,Characteristic,Note,Value,Flag
Ethnic or cultural origin,  Azorean,,70,
Ethnic or cultural origin,  Atikamekw,,0,
Ethnic or cultural origin,  Bamileke,,105,
Ethnic or cultural origin,  Indo-Guyanese,,80,
Ethnic or cultural origin,  Ugandan,,300,
Ethnic or cultural origin,  Oromo,,1560,
Ethnic or cultural origin,  Tanzanian,,795,
Ethnic or cultural origin,  Yemeni,,555,
Ethnic or cultural origin,  Central African,,70,
Ethnic or cultural origin,  Libyan,,445,
Ethnic or cultural origin,  Basque,,175,
Ethnic or cultural origin,  Uruguayan,,85,
Ethnic or cultural origin,"  Akan, n.o.s.",159,295,
Ethnic or cultural origin,"  Central or West African, n.o.s.",160,345,
Ethnic or cultural origin,  Igorot,,1195,
Ethnic or cultural origin,  Fulani,,65,
Ethnic or cultural origin,  Woodland Cree,,70,
Ethnic or cultural origin,  Guinean,,155,
Ethnic or cultural origin,  St. Lucian,,230,
Ethnic or cultural origin,  Prince Edward Islander,,215,
Ethnic or cultural origin,  Maliseet,,25,
Ethnic or cultural origin,  Beninese,,145,
Ethnic or cultural origin,  Telugu,,255,
Ethnic or cultural origin,  Roma,,200,
Ethnic or cultural origin,  Costa Rican,,180,
Ethnic or cultural origin,  African Nova Scotian,,85,
Ethnic or cultural origin,  Malagasy,,35,
Ethnic or cultural origin,  Kashmiri,,820,
Ethnic or cultural origin,  Singaporean,,325,
Ethnic or cultural origin,  Karen,,390,
Ethnic or cultural origin,  Edo,,605,
Ethnic or cultural origin,  Tajik,,280,
Ethnic or cultural origin,  Amhara,,810,
Ethnic or cultural origin,  Paraguayan,,100,
"Highest certificate, diploma or degree","Total - Highest certificate, diploma or degree for the population aged 15 years and over in private households - 25% sample data",165,1056230,
"Highest certificate, diploma or degree","  No certificate, diploma or degree",,134565,
"Highest certificate, diploma or degree",  High (secondary) school diploma or equivalency certificate,167,273135,
"Highest certificate, diploma or degree","  Postsecondary certificate, diploma or degree",,648530,
"Highest certificate, diploma or degree",    Postsecondary certificate or diploma below bachelor level,,271085,
"Highest certificate, diploma or degree",      Apprenticeship or trades certificate or diploma,,62155,
"Highest certificate, diploma or degree",        Non-apprenticeship trades certificate or diploma,168,22795,
"Highest certificate, diploma or degree",        Apprenticeship certificate,169,39360,
"Highest certificate, diploma or degree","      College, CEGEP or other non-university certificate or diploma",170,172905,
"Highest certificate, diploma or degree",      University certificate or diploma below bachelor level,,36020,
"Highest certificate, diploma or degree",    Bachelor's degree or higher,,377450,
"Highest certificate, diploma or degree",      Bachelor's degree,,258985,
"Highest certificate, diploma or degree",      University certificate or diploma above bachelor level,,19835,
"Highest certificate, diploma or degree","      Degree in medicine, dentistry, veterinary medicine or optometry",,9365,
"Highest certificate, diploma or degree",      Master's degree,,77600,
"Highest certificate, diploma or degree",      Earned doctorate,171,11670,
"Highest certificate, diploma or degree","Total - Highest certificate, diploma or degree for the population aged 25 to 64 years in private households - 25% sample data",165,737750,
"Highest certificate, diploma or degree","  No certificate, diploma or degree",,56150,
"Highest certificate, diploma or degree",  High (secondary) school diploma or equivalency certificate,167,158090,
"Highest certificate, diploma or degree","  Postsecondary certificate, diploma or degree",,523505,
"Highest certificate, diploma or degree",    Postsecondary certificate or diploma below bachelor level,,207210,
"Highest certificate, diploma or degree",      Apprenticeship or trades certificate or diploma,,46300,
"Highest certificate, diploma or degree",        Non-apprenticeship trades certificate or diploma,168,16310,
"Highest certificate, diploma or degree",        Apprenticeship certificate,169,29990,
"Highest certificate, diploma or degree","      College, CEGEP or other non-university certificate or diploma",170,132925,
"Highest certificate, diploma or degree",      University certificate or diploma below bachelor level,,27990,
"Highest certificate, diploma or degree",    Bachelor's degree or higher,,316295,
"Highest certificate, diploma or degree",      Bachelor's degree,,215545,
"Highest certificate, diploma or degree",      University certificate or diploma above bachelor level,,15980,
"Highest certificate, diploma or degree","      Degree in medicine, dentistry, veterinary medicine or optometry",,8070,
"Highest certificate, diploma or degree",      Master's degree,,67610,
"Highest certificate, diploma or degree",      Earned doctorate,171,9100,
Place of work status,Total - Place of work status for the employed labour force aged 15 years and over - 25% sample data,198,638645,
Place of work status,  Worked at home,,182015,
Place of work status,  Worked outside Canada,,2460,
Place of work status,  No fixed workplace address,,89650,
Place of work status,  Usual place of work,,364515,
Commuting destination,Total - Commuting destination for the employed labour force aged 15 years and over with a usual place of work - 25% sample data,199,364520,
Commuting destination,  Commute within census subdivision (CSD) of residence,,332545,
Commuting destination,  Commute to a different census subdivision (CSD) within census division (CD) of residence,,22900,
Commuting destination,  Commute to a different census subdivision (CSD) and census division (CD) within province or territory of residence,,5875,
Commuting destination,  Commute to a different province or territory,,3200,
Main mode of commuting,Total - Main mode of commuting for the employed labour force aged 15 years and over with a usual place of work or no fixed workplace address - 25% sample data,200,454170,
Main mode of commuting,"  Car, truck or van",,378085,
Main mode of commuting,"    Car, truck or van - as a driver",,350765,
Main mode of commuting,"    Car, truck or van - as a passenger",,27315,
Main mode of commuting,  Public transit,,39905,
Main mode of commuting,  Walked,,19195,
Main mode of commuting,  Bicycle,,3955,
Main mode of commuting,  Other method,,13035,
Commuting duration,Total - Commuting duration for the employed labour force aged 15 years and over with a usual place of work or no fixed workplace address - 25% sample data,201,454170,
Commuting duration,  Less than 15 minutes,,97610,
Commuting duration,  15 to 29 minutes,,213150,
Commuting duration,  30 to 44 minutes,,99695,
Commuting duration,  45 to 59 minutes,,20845,
Commuting duration,  60 minutes and over,,22870,
Time leaving for work,Total - Time leaving for work for the employed labour force aged 15 years and over with a usual place of work or no fixed workplace address - 25% sample data,202,454170,
Time leaving for work,  Between 5 a.m. and 5:59 a.m.,,28655,
Time leaving for work,  Between 6 a.m. and 6:59 a.m.,,79585,
Time leaving for work,  Between 7 a.m. and 7:59 a.m.,,116785,
Time leaving for work,  Between 8 a.m. and 8:59 a.m.,,86045,
Time leaving for work,  Between 9 a.m. and 11:59 a.m.,,67250,
Time leaving for work,  Between 12 p.m. and 4:59 a.m.,,75850,
Children eligible for instruction in the minority official language,Total - Eligibility for instruction in the minority official language for the population in private households born in 2003 or later - 100% data,203,285180,
Children eligible for instruction in the minority official language,  Children eligible for instruction in the minority official language,,20385,
Children eligible for instruction in the minority official language,  Children not eligible for instruction in the minority official language,,264795,
Eligibility and instruction in the minority official language for school-aged children,"Total - Eligibility and instruction in the minority official language, for the population in private households born between 2003 and 2015 (inclusive) - 100% data",204,205680,
Eligibility and instruction in the minority official language for school-aged children,  Children eligible for instruction in the minority official language,,15120,
Eligibility and instruction in the minority official language for school-aged children,    Eligible children who have been instructed in the minority official language at the primary or secondary level in Canada,,7850,
Eligibility and instruction in the minority official language for school-aged children,    Eligible children who have not been instructed in the minority official language at the primary or secondary level in Canada,,7275,
Eligibility and instruction in the minority official language for school-aged children,  Children not eligible for instruction in the minority official language,,190560,
